player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,age,PosisiPemain,HargaPasar
Bukayo Saka,35,2937,16,9,4,0,3.1,83.0,0.7,6,7.67,Arsenal,22,Right Winger,€140.00m  
Rodri,34,2937,8,9,8,1,1.8,92.5,1.6,5,7.62,Man City,27,Defensive Midfield,€120.00m  
Michael Olise,19,1277,10,6,0,0,3.0,83.1,0.4,6,7.61,Crystal Palace,22,Right Winger,€55.00m  
Kevin De Bruyne,18,1228,4,10,2,0,2.4,83.8,0.3,2,7.6,Man City,32,Attacking Midfield,€50.00m  
Phil Foden,35,2869,19,8,2,0,3.0,89.1,0.2,10,7.55,Man City,24,Right Winger,€150.00m  
Cole Palmer,33,2618,22,11,7,0,3.3,83.3,0.0,5,7.48,Chelsea,22,Attacking Midfield,€80.00m  
Cole Palmer,1,10,0,0,0,0,0.0,80.0,0.0,0,5.99,Man City,22,Attacking Midfield,€80.00m  
Eberechi Eze,27,2064,11,4,3,0,3.1,83.7,0.4,5,7.45,Crystal Palace,25,Attacking Midfield,€55.00m  
Solly March,7,559,3,1,1,0,2.0,81.4,0.9,1,7.43,Brighton,29,Right Winger,€18.00m  
Erling Haaland,31,2559,27,5,1,0,3.9,77.4,1.3,6,7.4,Man City,23,Centre-Forward,€180.00m  
Bruno Fernandes,35,3120,10,8,9,0,2.7,79.4,0.6,6,7.39,Man Utd,29,Attacking Midfield,€70.00m  
Declan Rice,38,3232,7,8,5,0,1.5,90.7,1.0,5,7.38,Arsenal,25,Defensive Midfield,€120.00m  
Bruno Guimarães,37,3269,7,8,9,0,1.3,85.0,0.5,6,7.37,Newcastle,26,Defensive Midfield,€85.00m  
Martin Ødegaard,35,3104,8,10,2,0,2.2,86.8,0.1,5,7.37,Arsenal,25,Attacking Midfield,€110.00m  
Arijanet Muric,10,900,0,0,0,0,0.0,67.5,0.4,1,7.34,Burnley,25,Goalkeeper,€7.00m  
Anthony Gordon,35,2906,11,10,10,1,2.3,81.8,0.3,4,7.29,Newcastle,23,Left Winger,€60.00m  
Ollie Watkins,37,3227,19,13,4,0,2.9,76.8,1.4,7,7.27,Aston Villa,28,Centre-Forward,€65.00m  
Jérémy Doku,29,1596,3,8,3,0,1.9,86.0,0.1,5,7.24,Man City,22,Left Winger,€65.00m  
Mohamed Salah,32,2536,18,10,2,0,3.6,75.7,0.2,4,7.24,Liverpool,31,Right Winger,€55.00m  
Mohammed Kudus,33,2488,8,6,6,0,2.0,84.5,0.5,6,7.23,West Ham,23,Attacking Midfield,€50.00m  
James Maddison,28,2155,4,9,5,0,2.1,87.4,0.1,1,7.17,Tottenham,27,Attacking Midfield,€70.00m  
Kai Havertz,37,2641,13,7,11,0,1.9,81.1,2.8,3,7.16,Arsenal,24,Attacking Midfield,€70.00m  
Bernardo Silva,33,2582,6,9,8,0,1.0,89.4,0.1,2,7.15,Man City,29,Attacking Midfield,€70.00m  
Virgil van Dijk,36,3178,2,2,3,1,1.3,91.5,3.9,1,7.15,Liverpool,32,Centre-Back,€30.00m  
Alexander Isak,30,2267,21,2,1,0,2.6,80.0,0.3,3,7.14,Newcastle,24,Centre-Forward,€75.00m  
Pascal Groß,36,3114,4,10,7,0,1.5,90.2,0.4,6,7.13,Brighton,32,Central Midfield,€8.00m  
Conor Gallagher,37,3137,5,7,7,1,1.3,91.5,0.7,1,7.13,Chelsea,24,Central Midfield,€50.00m  
Matheus Cunha,32,2454,12,7,9,0,2.3,81.6,0.5,5,7.13,Wolves,25,Centre-Forward,€45.00m  
Trent Alexander-Arnold,28,2161,3,4,6,0,1.7,79.6,0.3,3,7.12,Liverpool,25,Right-Back,€70.00m  
Julián Álvarez,36,2660,11,9,2,0,2.7,87.9,0.1,1,7.1,Man City,24,Centre-Forward,€90.00m  
Jarrod Bowen,34,3021,16,6,2,0,2.5,75.1,1.0,2,7.1,West Ham,27,Right Winger,€50.00m  
Diogo Jota,21,1151,10,3,1,1,2.0,74.5,0.9,1,7.09,Liverpool,27,Left Winger,€50.00m  
Alexis Mac Allister,33,2612,5,5,7,1,1.3,87.8,0.9,2,7.09,Liverpool,25,Central Midfield,€75.00m  
Luis Díaz,37,2646,8,5,3,0,2.5,85.3,0.7,3,7.09,Liverpool,27,Left Winger,€75.00m  
James Tarkowski,38,3420,1,1,11,0,0.7,77.8,3.8,5,7.08,Everton,31,Centre-Back,€13.00m  
James Tarkowski,38,3420,1,1,11,0,0.7,77.8,3.8,5,7.08,Everton,31,Centre-Back,€13.00m  
Nicolas Jackson,35,2810,14,5,10,0,2.3,78.0,1.0,3,7.07,Chelsea,22,Centre-Forward,€35.00m  
Kieran Trippier,28,2240,1,10,5,0,0.3,79.7,1.1,3,7.07,Newcastle,33,Right-Back,€10.00m  
Thomas Strakosha,2,135,0,0,0,0,0.0,71.2,0.5,0,7.05,Brentford,29,Goalkeeper,€3.00m  
Manor Solomon,5,198,0,2,1,0,1.4,90.6,0.0,0,7.05,Tottenham,24,Left Winger,€13.00m  
Ross Barkley,32,2622,5,4,6,0,2.1,84.5,1.4,1,7.05,Luton,30,Central Midfield,€8.00m  
Lucas Paquetá,31,2638,4,6,10,0,1.4,75.2,2.0,0,7.04,West Ham,26,Attacking Midfield,€65.00m  
Pedro Porro,35,3093,3,7,3,0,1.5,79.6,0.5,3,7.04,Tottenham,24,Right-Back,€45.00m  
João Palhinha,33,2711,4,1,13,0,1.4,83.0,1.2,2,7.04,Fulham,28,Defensive Midfield,€55.00m  
Dominic Solanke,38,3333,19,3,3,0,2.9,73.7,2.6,3,7.03,Bournemouth,26,Centre-Forward,€40.00m  
