player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,marketvalue,g/a
Bukayo Saka,35,2937,16,9,4,0,3.1,83.0,0.7,6,7.67,Big 6,Wing Forward,22,140000000,25
Rodri,34,2937,8,9,8,1,1.8,92.5,1.6,5,7.62,Big 6,Defensive Midfield,27,120000000,17
Michael Olise,19,1277,10,6,0,0,3.0,83.1,0.4,6,7.61,Non Big 6,Wing Forward,22,55000000,16
Kevin De Bruyne,18,1228,4,10,2,0,2.4,83.8,0.3,2,7.6,Big 6,Attacking Midfield,32,50000000,14
Phil Foden,35,2869,19,8,2,0,3.0,89.1,0.2,10,7.55,Big 6,Wing Forward,24,150000000,27
Cole Palmer,33,2618,22,11,7,0,3.3,83.3,0.0,5,7.48,Big 6,Attacking Midfield,22,80000000,33
Eberechi Eze,27,2064,11,4,3,0,3.1,83.7,0.4,5,7.45,Non Big 6,Attacking Midfield,25,55000000,15
Solly March,7,559,3,1,1,0,2.0,81.4,0.9,1,7.43,Non Big 6,Wing Forward,29,18000000,4
Erling Haaland,31,2559,27,5,1,0,3.9,77.4,1.3,6,7.4,Big 6,Centre-Forward,23,180000000,32
Bruno Fernandes,35,3120,10,8,9,0,2.7,79.4,0.6,6,7.39,Big 6,Attacking Midfield,29,70000000,18
Declan Rice,38,3232,7,8,5,0,1.5,90.7,1.0,5,7.38,Big 6,Defensive Midfield,25,120000000,15
Bruno Guimarães,37,3269,7,8,9,0,1.3,85.0,0.5,6,7.37,Non Big 6,Defensive Midfield,26,85000000,15
Martin Ødegaard,35,3104,8,10,2,0,2.2,86.8,0.1,5,7.37,Big 6,Attacking Midfield,25,110000000,18
Arijanet Muric,10,900,0,0,0,0,0.0,67.5,0.4,1,7.34,Non Big 6,Goalkeeper,25,7000000,0
Anthony Gordon,35,2906,11,10,10,1,2.3,81.8,0.3,4,7.29,Non Big 6,Wing Forward,23,60000000,21
Ollie Watkins,37,3227,19,13,4,0,2.9,76.8,1.4,7,7.27,Non Big 6,Centre-Forward,28,65000000,32
Jérémy Doku,29,1596,3,8,3,0,1.9,86.0,0.1,5,7.24,Big 6,Wing Forward,22,65000000,11
Mohamed Salah,32,2536,18,10,2,0,3.6,75.7,0.2,4,7.24,Big 6,Wing Forward,31,55000000,28
Mohammed Kudus,33,2488,8,6,6,0,2.0,84.5,0.5,6,7.23,Non Big 6,Attacking Midfield,23,50000000,14
James Maddison,28,2155,4,9,5,0,2.1,87.4,0.1,1,7.17,Big 6,Attacking Midfield,27,70000000,13
Kai Havertz,37,2641,13,7,11,0,1.9,81.1,2.8,3,7.16,Big 6,Attacking Midfield,24,70000000,20
Bernardo Silva,33,2582,6,9,8,0,1.0,89.4,0.1,2,7.15,Big 6,Attacking Midfield,29,70000000,15
Virgil van Dijk,36,3178,2,2,3,1,1.3,91.5,3.9,1,7.15,Big 6,Centre-Back,32,30000000,4
Alexander Isak,30,2267,21,2,1,0,2.6,80.0,0.3,3,7.14,Non Big 6,Centre-Forward,24,75000000,23
Pascal Groß,36,3114,4,10,7,0,1.5,90.2,0.4,6,7.13,Non Big 6,Central Midfield,32,8000000,14
Conor Gallagher,37,3137,5,7,7,1,1.3,91.5,0.7,1,7.13,Big 6,Central Midfield,24,50000000,12
Matheus Cunha,32,2454,12,7,9,0,2.3,81.6,0.5,5,7.13,Non Big 6,Centre-Forward,25,45000000,19
Trent Alexander-Arnold,28,2161,3,4,6,0,1.7,79.6,0.3,3,7.12,Big 6,Wing Back,25,70000000,7
Julián Álvarez,36,2660,11,9,2,0,2.7,87.9,0.1,1,7.1,Big 6,Centre-Forward,24,90000000,20
Jarrod Bowen,34,3021,16,6,2,0,2.5,75.1,1.0,2,7.1,Non Big 6,Wing Forward,27,50000000,22
Diogo Jota,21,1151,10,3,1,1,2.0,74.5,0.9,1,7.09,Big 6,Wing Forward,27,50000000,13
Alexis Mac Allister,33,2612,5,5,7,1,1.3,87.8,0.9,2,7.09,Big 6,Central Midfield,25,75000000,10
Luis Díaz,37,2646,8,5,3,0,2.5,85.3,0.7,3,7.09,Big 6,Wing Forward,27,75000000,13
James Tarkowski,38,3420,1,1,11,0,0.7,77.8,3.8,5,7.08,Non Big 6,Centre-Back,31,13000000,2
Nicolas Jackson,35,2810,14,5,10,0,2.3,78.0,1.0,3,7.07,Big 6,Centre-Forward,22,35000000,19
Kieran Trippier,28,2240,1,10,5,0,0.3,79.7,1.1,3,7.07,Non Big 6,Wing Back,33,10000000,11
Thomas Strakosha,2,135,0,0,0,0,0.0,71.2,0.5,0,7.05,Non Big 6,Goalkeeper,29,3000000,0
Manor Solomon,5,198,0,2,1,0,1.4,90.6,0.0,0,7.05,Big 6,Wing Forward,24,13000000,2
Ross Barkley,32,2622,5,4,6,0,2.1,84.5,1.4,1,7.05,Non Big 6,Central Midfield,30,8000000,9
Lucas Paquetá,31,2638,4,6,10,0,1.4,75.2,2.0,0,7.04,Non Big 6,Attacking Midfield,26,65000000,10
Pedro Porro,35,3093,3,7,3,0,1.5,79.6,0.5,3,7.04,Big 6,Wing Back,24,45000000,10
João Palhinha,33,2711,4,1,13,0,1.4,83.0,1.2,2,7.04,Non Big 6,Defensive Midfield,28,55000000,5
Dominic Solanke,38,3333,19,3,3,0,2.9,73.7,2.6,3,7.03,Non Big 6,Centre-Forward,26,40000000,22
Josko Gvardiol,28,2330,4,1,3,0,1.1,88.3,1.1,1,7.03,Big 6,Wing Back,22,75000000,5
Cristian Romero,33,2793,5,0,7,1,0.7,91.9,2.7,1,7.03,Big 6,Centre-Back,26,60000000,5
Alphonse Areola,31,2702,0,0,1,0,0.0,59.3,0.4,4,6.96,Non Big 6,Goalkeeper,31,10000000,0
Diogo Dalot,36,3174,2,3,4,1,0.8,83.8,0.9,1,6.96,Big 6,Wing Back,25,35000000,5
Douglas Luiz,35,3003,9,5,12,0,1.4,89.4,0.7,3,6.95,Non Big 6,Central Midfield,26,70000000,14
Dan Burn,33,2733,2,2,4,0,0.7,81.1,3.1,1,6.94,Non Big 6,Wing Back,32,8000000,4
João Pedro,31,2046,9,3,2,0,2.4,82.7,1.3,3,6.93,Non Big 6,Centre-Forward,22,45000000,12
Ben White,37,2995,4,4,8,0,0.4,86.7,1.0,0,6.93,Big 6,Wing Back,26,55000000,8
Adam Wharton,16,1305,0,3,2,0,0.6,81.1,0.5,0,6.93,Non Big 6,Central Midfield,20,30000000,3
Antonee Robinson,37,3269,0,6,6,0,0.4,75.9,1.1,1,6.92,Non Big 6,Wing Back,26,25000000,6
Jarrad Branthwaite,35,3117,3,0,8,0,0.4,80.1,2.7,0,6.9,Non Big 6,Centre-Back,21,42000000,3
Gabriel Jesus,27,1482,4,5,6,0,2.0,81.0,0.6,2,6.89,Big 6,Centre-Forward,27,65000000,9
Gabriel Martinelli,35,2031,6,4,1,0,1.7,85.0,0.5,1,6.89,Big 6,Wing Forward,22,70000000,10
Ivan Toney,17,1449,4,2,5,0,3.0,55.7,3.2,2,6.89,Non Big 6,Centre-Forward,28,50000000,6
