PlayerName,Position,Age,MarketValue,Matches,Goals,OwnGoals,Assists,Yellow,2ndYellow,Red,SubsOn,SubsOff,NationalTeam,Height
Jude Bellingham,Attacking Midfield,20,180,44,25,0,13,11,0,1,1,16,England,186
Erling Haaland,Centre-Forward,23,180,48,38,0,6,1,0,0,3,18,Norway,195
Kylian Mbappé,Centre-Forward,25,180,51,45,0,12,6,0,0,5,6,France,178
Phil Foden,Right Winger,24,150,57,28,0,12,3,0,0,6,21,England,171
Vinicius Junior,Left Winger,23,150,40,23,0,11,10,0,0,4,22,Brazil,176
Bukayo Saka,Right Winger,22,140,48,20,0,14,4,0,0,2,23,England,178
Declan Rice,Defensive Midfield,25,120,54,7,0,10,7,0,0,3,11,England,188
Rodri,Defensive Midfield,27,120,51,11,0,14,10,0,1,0,11,Spain,191
Florian Wirtz,Attacking Midfield,21,110,57,19,0,22,7,0,0,11,35,Germany,177
Jamal Musiala,Attacking Midfield,21,110,42,13,0,10,3,0,0,5,25,Germany,184
Lautaro Martínez,Centre-Forward,26,110,46,28,0,8,8,0,0,6,18,Argentina,174
Victor Osimhen,Centre-Forward,25,110,40,18,0,7,5,1,0,5,16,Nigeria,186
Martin Ødegaard,Attacking Midfield,25,110,51,11,0,11,2,0,0,3,18,Norway,178
Harry Kane,Centre-Forward,30,110,46,45,0,12,3,0,0,1,9,England,188
Rodrygo,Right Winger,23,100,52,18,0,9,2,0,0,8,33,Brazil,174
Federico Valverde,Central Midfield,25,100,54,3,0,8,2,0,0,6,17,Uruguay,182
Gavi,Central Midfield,19,90,15,2,0,1,6,1,0,2,3,Spain,173
Eduardo Camavinga,Central Midfield,21,90,49,0,0,5,13,0,0,15,22,France,182
Julián Álvarez,Centre-Forward,24,90,55,19,0,13,5,0,0,15,20,Argentina,170
Aurélien Tchouaméni,Defensive Midfield,24,90,42,3,0,1,10,0,0,7,9,Not Called,182
Rafael Leão,Left Winger,24,90,48,16,0,14,8,0,0,6,20,Portugal,188
Bruno Guimarães,Defensive Midfield,26,85,52,7,0,10,15,0,0,2,8,Brazil,182
Pedri,Central Midfield,21,80,34,4,0,5,3,0,0,13,17,Spain,174
Cole Palmer,Attacking Midfield,22,80,50,28,0,16,8,0,0,7,21,England,189
Xavi Simons,Attacking Midfield,21,80,45,10,0,15,10,1,0,3,27,Netherlands,179
Khvicha Kvaratskhelia,Left Winger,23,80,47,12,0,9,8,0,0,4,25,Georgia,183
William Saliba,Centre-Back,23,80,52,2,0,1,6,0,0,0,1,France,192
Rúben Dias,Centre-Back,27,80,46,0,2,0,3,0,0,3,3,Portugal,187
Lamine Yamal,Right Winger,16,75,52,7,0,12,6,0,0,21,16,Spain,178
Moisés Caicedo,Defensive Midfield,22,75,49,1,0,4,15,0,0,4,11,Ecuador,178
Enzo Fernández,Central Midfield,23,75,42,8,0,3,10,0,0,4,16,Argentina,178
Alexis Mac Allister,Central Midfield,25,75,48,8,0,7,10,0,1,7,18,Argentina,176
Luis Díaz,Left Winger,27,75,53,13,0,6,4,0,0,9,27,Colombia,180
Josko Gvardiol,Left-Back,22,75,44,5,0,3,5,0,0,4,6,Croatia,185
Dominik Szoboszlai,Central Midfield,23,75,48,9,0,4,1,0,0,15,17,Hungary,187
Alexander Isak,Centre-Forward,24,75,42,25,0,2,1,0,0,4,18,Sweden,192
Nicolò Barella,Central Midfield,27,75,50,3,0,7,10,0,0,9,21,Italy,175
Gabriel Martinelli,Left Winger,22,70,44,8,0,5,1,0,0,13,25,Brazil,178
Darwin Núñez,Centre-Forward,24,70,54,18,0,13,10,0,0,21,20,Uruguay,187
Ronald Araujo,Centre-Back,25,70,37,1,0,2,8,1,1,4,1,Uruguay,192
Douglas Luiz,Central Midfield,26,70,55,10,0,10,16,0,0,6,13,Brazil,177
Gabriel Magalhães,Centre-Back,26,70,50,4,1,0,5,0,0,2,3,Brazil,190
Éder Militão,Centre-Back,26,70,12,0,0,0,0,0,0,6,3,Brazil,186
Frenkie de Jong,Central Midfield,27,70,30,2,0,0,10,0,0,0,6,Netherlands,181
Alessandro Bastoni,Centre-Back,25,70,38,1,0,4,5,0,0,1,18,Italy,190
Trent Alexander-Arnold,Right-Back,25,70,38,3,0,9,7,0,0,8,14,England,180
Kai Havertz,Attacking Midfield,24,70,58,16,0,8,14,0,0,10,21,Germany,193
James Maddison,Attacking Midfield,27,70,32,4,0,10,6,0,0,5,23,England,175
Bernardo Silva,Attacking Midfield,29,70,50,11,0,11,9,0,0,6,12,Portugal,173
Bruno Fernandes,Attacking Midfield,29,70,49,16,0,14,12,0,0,1,2,Portugal,179
Leroy Sané,Right Winger,28,70,48,12,0,14,5,0,1,4,21,Germany,183
Rasmus Højlund,Centre-Forward,21,65,45,16,0,2,2,0,0,9,24,Denmark,191
Jérémy Doku,Left Winger,22,65,47,7,0,10,4,0,0,25,14,Belgium,173
Lucas Paquetá,Attacking Midfield,26,65,45,9,0,7,15,0,0,2,23,Brazil,180
Achraf Hakimi,Right-Back,25,65,50,6,0,8,11,0,0,5,5,Morocco,181
Gabriel Jesus,Centre-Forward,27,65,36,8,0,8,8,0,0,15,16,Brazil,175
Dušan Vlahović,Centre-Forward,24,65,39,18,0,3,7,1,0,8,22,Serbia,190
Christopher Nkunku,Attacking Midfield,26,65,14,3,0,0,0,0,0,12,2,France,177
Matthijs de Ligt,Centre-Back,24,65,31,2,0,1,5,0,0,7,6,Netherlands,189
Ollie Watkins,Centre-Forward,28,65,56,28,0,13,7,0,0,6,15,England,180
Kingsley Coman,Left Winger,27,65,29,6,0,3,1,0,0,7,19,Not Called,182
Warren Zaïre-Emery,Central Midfield,18,60,48,3,0,7,6,0,0,7,12,France,178
Nuno Mendes,Left-Back,21,60,15,1,0,2,4,0,0,4,5,Portugal,183
Bremer,Centre-Back,27,60,41,3,0,0,10,0,0,1,1,Brazil,188
Anthony Gordon,Left Winger,23,60,50,12,0,11,12,1,0,4,26,England,182
Randal Kolo Muani,Centre-Forward,25,60,48,13,0,7,2,0,0,21,21,France,187
Manuel Ugarte,Defensive Midfield,23,60,38,0,0,3,8,0,0,10,10,Uruguay,182
Alphonso Davies,Left-Back,23,60,46,4,1,7,3,0,0,8,11,Canada,185
Takefusa Kubo,Right Winger,22,60,45,8,0,9,4,0,0,9,18,Japan,173
Loïs Openda,Centre-Forward,24,60,48,28,0,7,5,0,0,4,29,Belgium,177
Cristian Romero,Centre-Back,26,60,36,6,1,0,7,0,1,0,3,Argentina,185
Theo Hernández,Left-Back,26,60,50,5,0,12,13,0,1,2,4,France,184
Marcus Thuram,Centre-Forward,26,60,50,15,0,14,3,0,0,8,28,France,192
Ousmane Dembélé,Right Winger,27,60,45,6,0,14,7,0,0,10,23,France,178
Marcus Rashford,Left Winger,26,60,46,8,0,5,2,0,1,10,19,England,185
Jack Grealish,Left Winger,28,60,37,3,0,4,8,0,0,10,13,England,180
Joshua Kimmich,Right-Back,29,60,48,2,0,10,4,0,1,2,13,Germany,177
Endrick,Centre-Forward,17,55,30,8,0,3,10,0,0,4,19,Brazil,173
Michael Olise,Right Winger,22,55,19,10,0,6,0,0,0,5,6,France U21,184
Micky van de Ven,Centre-Back,23,55,29,3,1,0,6,0,0,0,4,Netherlands,193
Min-jae Kim,Centre-Back,27,55,45,2,0,3,5,0,0,7,5,South Korea,190
Pedro Neto,Right Winger,24,55,24,3,0,11,5,0,0,5,7,Portugal,172
Eberechi Eze,Attacking Midfield,25,55,32,11,0,6,4,0,0,6,13,England,178
Dejan Kulusevski,Right Winger,24,55,41,8,0,5,8,0,0,6,10,Sweden,186
Moussa Diaby,Right Winger,24,55,55,10,0,9,4,0,0,19,30,France,171
Ben White,Right-Back,26,55,51,4,1,5,11,0,0,5,9,England,186
Viktor Gyökeres,Centre-Forward,25,55,51,44,0,15,5,0,1,3,7,Sweden,187
João Palhinha,Defensive Midfield,28,55,40,4,0,1,13,0,0,3,13,Portugal,190
Marquinhos,Centre-Back,30,55,36,0,0,2,3,0,0,3,7,Brazil,183
Mohamed Salah,Right Winger,31,55,52,30,0,17,2,0,0,10,12,Egypt,175
Kobbie Mainoo,Central Midfield,19,50,40,5,0,3,4,0,0,5,22,England,175
Nico Williams,Left Winger,21,50,39,8,0,17,5,1,0,5,23,Spain,181
Evan Ferguson,Centre-Forward,19,50,39,6,0,1,2,0,0,19,15,Ireland,188
Levi Colwill,Centre-Back,21,50,33,1,0,1,4,0,0,5,7,England,187
Matheus Nunes,Central Midfield,25,50,32,1,0,5,1,1,0,15,8,Portugal,183
Gonçalo Ramos,Centre-Forward,22,50,41,15,0,2,2,0,0,19,17,Portugal,185
Mohammed Kudus,Attacking Midfield,23,50,55,21,0,7,8,0,0,7,21,Ghana,177
Jonathan David,Centre-Forward,24,50,51,27,0,10,5,0,0,7,21,Canada,180
Conor Gallagher,Central Midfield,24,50,53,7,0,9,9,1,0,5,11,England,182
Amadou Onana,Defensive Midfield,22,50,39,3,0,2,5,0,0,8,9,Belgium,195
Jeremie Frimpong,Right Midfield,23,50,48,14,0,12,7,0,0,9,30,Netherlands,172
Cody Gakpo,Left Winger,25,50,55,16,0,8,2,0,0,22,22,Netherlands,193
Martín Zubimendi,Defensive Midfield,25,50,46,4,0,1,5,0,0,4,4,Spain,181
Jules Koundé,Centre-Back,25,50,51,2,0,4,5,0,0,5,3,France,180
Raphinha,Right Winger,27,50,39,10,0,13,5,0,1,12,21,Brazil,176
Benjamin Pavard,Centre-Back,28,50,35,2,0,3,8,0,0,3,10,France,186
Mikel Oyarzabal,Centre-Forward,27,50,46,14,0,3,3,0,0,12,21,Spain,181
Dayot Upamecano,Centre-Back,25,50,34,1,0,0,2,1,1,7,6,France,186
Diogo Jota,Left Winger,27,50,32,15,0,4,1,1,0,13,11,Portugal,178
Mikel Merino,Central Midfield,27,50,46,8,0,5,14,0,0,6,9,Spain,189
Jarrod Bowen,Right Winger,27,50,47,20,0,10,4,0,0,2,6,England,175
Dani Olmo,Attacking Midfield,26,50,26,9,0,5,1,0,0,5,13,Spain,179
Ivan Toney,Centre-Forward,28,50,18,5,0,2,5,0,0,1,1,England,185
Federico Dimarco,Left-Back,26,50,41,6,0,8,0,0,0,5,34,Italy,175
Kevin De Bruyne,Attacking Midfield,32,50,26,6,0,18,3,0,0,6,12,Belgium,181
Brennan Johnson,Right Winger,23,48,41,6,0,10,4,0,0,10,23,Wales,186
Alejandro Garnacho,Left Winger,19,45,52,10,0,5,4,0,0,10,25,Argentina,180
João Neves,Defensive Midfield,19,45,59,3,0,3,4,0,0,8,15,Portugal,174
António Silva,Centre-Back,20,45,52,2,0,0,9,0,2,3,4,Portugal,187
João Pedro,Centre-Forward,22,45,41,20,0,3,4,0,0,14,15,Brazil,182
Giorgio Scalvini,Centre-Back,20,45,44,1,0,3,6,0,0,7,16,Italy,194
Pape Matar Sarr,Central Midfield,21,45,43,4,0,4,9,0,0,8,30,Senegal,184
Destiny Udogie,Left-Back,21,45,31,2,0,3,6,1,0,0,6,Italy,188
Pedro Porro,Right-Back,24,45,38,4,0,7,4,0,0,0,4,Spain,173
Santiago Gimenez,Centre-Forward,23,45,48,26,1,9,7,0,0,6,24,Mexico,183
Matheus Cunha,Centre-Forward,25,45,36,14,0,8,9,0,0,4,18,Brazil,183
Kaoru Mitoma,Left Winger,27,45,27,3,0,5,6,0,0,4,7,Japan,178
Vitinha,Central Midfield,24,45,47,9,0,5,3,0,0,7,10,Portugal,172
Lisandro Martínez,Centre-Back,26,45,14,0,1,1,4,0,0,3,8,Argentina,175
Pau Torres,Centre-Back,27,45,39,2,0,1,1,0,0,3,5,Spain,192
Sven Botman,Centre-Back,24,45,22,2,2,2,2,0,0,2,5,Netherlands,195
Diogo Costa,Goalkeeper,24,45,46,0,0,0,0,0,1,0,0,Portugal,186
Ibrahima Konaté,Centre-Back,25,45,39,0,0,1,5,1,0,8,9,France,194
Manuel Akanji,Centre-Back,28,45,49,4,0,0,7,1,0,5,6,Switzerland,188
Lucas Hernández,Left-Back,28,45,42,2,0,2,9,0,0,5,15,France,184
Alejandro Grimaldo,Left-Back,28,45,52,12,0,19,3,0,0,6,12,Spain,171
Serge Gnabry,Right Winger,28,45,24,5,0,2,0,0,0,11,13,Germany,176
Heung-min Son,Left Winger,31,45,44,23,1,12,1,0,0,3,16,South Korea,184
Neymar,Left Winger,32,45,5,1,0,3,1,0,0,1,0,Brazil,175
Jarrad Branthwaite,Centre-Back,21,42,45,3,0,0,9,0,0,0,3,England,195
Leon Bailey,Left Winger,26,42,58,15,0,14,8,0,0,18,31,Jamaica,178
Samu Omorodion,Centre-Forward,20,40,43,11,0,1,5,0,0,17,22,Spain U21,193
Ousmane Diomande,Centre-Back,20,40,44,4,0,1,6,1,0,3,10,Ivory Coast,190
