NamaPemain,PosisiPemain,HargaPasar
Erling Haaland,Centre-Forward,€180.00m  
Phil Foden,Right Winger,€150.00m  
Bukayo Saka,Right Winger,€140.00m  
Declan Rice,Defensive Midfield,€120.00m  
Rodri,Defensive Midfield,€120.00m  
Martin Ødegaard,Attacking Midfield,€110.00m  
Julián Álvarez,Centre-Forward,€90.00m  
Bruno Guimarães,Defensive Midfield,€85.00m  
Rúben Dias,Centre-Back,€80.00m  
Cole Palmer,Attacking Midfield,€80.00m  
William Saliba,Centre-Back,€80.00m  
Alexis Mac Allister,Central Midfield,€75.00m  
Dominik Szoboszlai,Central Midfield,€75.00m  
Luis Díaz,Left Winger,€75.00m  
Josko Gvardiol,Left-Back,€75.00m  
Alexander Isak,Centre-Forward,€75.00m  
Enzo Fernández,Central Midfield,€75.00m  
Moisés Caicedo,Defensive Midfield,€75.00m  
James Maddison,Attacking Midfield,€70.00m  
Douglas Luiz,Central Midfield,€70.00m  
Kai Havertz,Attacking Midfield,€70.00m  
Gabriel Magalhães,Centre-Back,€70.00m  
Bruno Fernandes,Attacking Midfield,€70.00m  
Gabriel Martinelli,Left Winger,€70.00m  
Trent Alexander-Arnold,Right-Back,€70.00m  
Bernardo Silva,Attacking Midfield,€70.00m  
Darwin Núñez,Centre-Forward,€70.00m  
Rasmus Højlund,Centre-Forward,€65.00m  
Ollie Watkins,Centre-Forward,€65.00m  
Jérémy Doku,Left Winger,€65.00m  
Christopher Nkunku,Attacking Midfield,€65.00m  
Lucas Paquetá,Attacking Midfield,€65.00m  
Gabriel Jesus,Centre-Forward,€65.00m  
Anthony Gordon,Left Winger,€60.00m  
Cristian Romero,Centre-Back,€60.00m  
Marcus Rashford,Left Winger,€60.00m  
Jack Grealish,Left Winger,€60.00m  
Mohamed Salah,Right Winger,€55.00m  
Eberechi Eze,Attacking Midfield,€55.00m  
Moussa Diaby,Right Winger,€55.00m  
Pedro Neto,Right Winger,€55.00m  
João Palhinha,Defensive Midfield,€55.00m  
Micky van de Ven,Centre-Back,€55.00m  
Michael Olise,Right Winger,€55.00m  
Dejan Kulusevski,Right Winger,€55.00m  
Ben White,Right-Back,€55.00m  
