id,customer_state,customer_account_duration,customer_area_code,has_international_plan,has_voice_mail_plan,voice_mail_message_count,daytime_total_minutes,daytime_total_calls,daytime_total_charges,evening_total_minutes,evening_total_calls,evening_total_charges,nighttime_total_minutes,nighttime_total_calls,nighttime_total_charges,intl_total_minutes,intl_total_calls,intl_total_charges,customer_service_call_count,churn
1,MN,117.0,408,,True,21.0,538.3,112.0,80.87,257.7,110.0,20.57,136.9,85.0,5.59,11.9,7.0,,,0
2,NH,78.0,area_code_408,False,True,28.0,138.0,109.0,,172.6,99.0,13.71,192.4,106.0,,10.4,3.0,2.81,3.0,0
3,RI,89.0,415,no,True,24.0,,98.0,110.48,348.1,67.0,32.82,,126.0,10.56,5.9,2.0,1.59,,0
4,PA,84.0,area_code_415,false,False,,113.5,114.0,18.89,,113.0,20.04,276.7,,12.56,9.6,4.0,2.59,0.0,0
5,OR,,area_code_408,false,False,0.0,87.1,76.0,14.16,253.2,111.0,,333.0,125.0,14.26,,5.0,,1.0,0
6,UNKNOWN,117.0,415,Yes,False,0.0,,118.0,53.13,266.3,84.0,24.0,156.4,86.0,7.49,10.0,3.0,,,1
7,SC,41.0,,0,False,,414.6,117.0,63.37,148.8,108.0,,191.2,,7.92,8.6,,2.32,1.0,0
8,KS,24.0,,False,False,0.0,238.5,,44.34,,77.0,16.78,423.6,109.0,20.39,,,4.13,0.0,1
9,NC,,area_code_415,0,False,0.0,234.2,107.0,41.72,221.0,124.0,19.31,165.7,95.0,,,8.0,2.46,0.0,0
10,SC,,area_code_415,1,,,,109.0,,,83.0,12.55,135.3,102.0,,9.7,11.0,2.62,2.0,0
11,ID,144.0,area_code_415,No,True,33.0,266.4,87.0,40.24,413.5,118.0,31.99,379.8,,,,3.0,3.29,,0
12,MD,126.0,area_code_510,FALSE,False,0.0,389.9,56.0,,207.5,91.0,15.94,243.6,74.0,10.34,,3.0,3.02,3.0,0
13,IL,151.0,,True,False,,203.4,70.0,34.48,,106.0,18.18,,126.0,12.95,12.4,4.0,3.35,0.0,0
14,CO,92.0,area_code_415,,False,0.0,388.3,,73.42,,134.0,25.98,214.7,93.0,10.18,8.2,3.0,,3.0,0
15,UNKNOWN,80.0,area_code_415,No,True,33.0,189.7,109.0,34.95,146.0,68.0,13.72,210.8,119.0,10.2,11.2,4.0,3.02,1.0,1
16,VA,133.0,area_code_415,false,False,0.0,176.5,64.0,26.37,168.4,83.0,,227.1,96.0,9.06,10.3,4.0,2.78,1.0,0
17,WY,139.0,area_415,No,False,,,104.0,34.6,243.2,96.0,21.03,199.3,101.0,9.65,13.0,3.0,,3.0,0
18,KS,123.0,area_code_415,no,False,0.0,168.7,,29.76,243.8,51.0,22.75,170.2,,,9.0,10.0,,,0
19,UNKNOWN,92.0,510,no,False,,227.7,105.0,38.52,,129.0,14.2,230.6,113.0,10.7,9.9,8.0,2.67,,0
20,LA,13.0,area_code_415,,False,0.0,55.4,121.0,,259.2,64.0,,155.9,115.0,,11.9,5.0,3.21,1.0,0
21,AL,90.0,,False,False,,,97.0,36.09,324.6,117.0,28.65,,78.0,5.95,11.8,2.0,3.19,2.0,0
22,CO,125.0,area_code_408,0,,23.0,,104.0,21.8,232.5,115.0,,158.9,100.0,,10.2,,2.75,,0
23,AR,89.0,,True,False,0.0,510.2,134.0,86.25,359.4,,32.09,152.6,86.0,7.03,10.9,4.0,2.94,0.0,0
24,CT,34.0,area_code_510,False,,26.0,,91.0,33.04,203.8,,16.94,257.3,94.0,11.63,9.5,,2.57,2.0,0
25,WA,56.0,area_code_408,NO,False,0.0,,80.0,84.31,177.7,96.0,14.22,149.4,,6.38,15.5,,4.19,,0
26,SC,108.0,,0,False,,180.0,101.0,28.84,190.0,126.0,,211.6,107.0,8.8,12.6,,,1.0,0
27,NY,,area_code_415,0,True,37.0,168.2,107.0,28.17,308.3,118.0,27.04,423.2,,19.32,11.6,5.0,3.13,,0
28,NJ,134.0,area_415,no,True,,,75.0,35.42,95.4,103.0,7.71,209.2,,,10.7,5.0,2.89,2.0,0
29,MT,131.0,area_code_415,False,True,24.0,,60.0,23.47,362.1,78.0,32.51,213.6,121.0,9.63,9.4,4.0,,,0
30,UNKNOWN,72.0,area_510,,True,,93.9,59.0,17.32,326.9,98.0,28.29,162.3,117.0,7.75,6.2,,1.67,,1
31,UNKNOWN,110.0,area_510,0,,0.0,,78.0,33.49,313.2,89.0,24.59,187.7,92.0,8.11,8.5,4.0,2.3,,1
32,UNKNOWN,100.0,area_code_408,0,False,0.0,257.5,122.0,49.92,184.2,92.0,16.83,269.1,92.0,13.43,,,1.38,6.0,0
33,IN,65.0,,0,False,0.0,,111.0,33.03,236.3,94.0,,248.6,123.0,10.24,,4.0,0.73,2.0,0
34,OK,17.0,area_408,NO,False,0.0,,121.0,29.35,242.5,111.0,18.58,447.1,99.0,,14.8,5.0,4.0,,0
35,ID,164.0,,TRUE,True,,,98.0,88.44,211.8,140.0,,187.3,69.0,,,4.0,3.08,0.0,0
36,NC,61.0,area_510,No,False,0.0,6.8,97.0,1.22,,78.0,,,94.0,,12.0,4.0,3.24,,0
37,UNKNOWN,,area_code_408,No,True,24.0,,103.0,40.72,293.5,65.0,24.27,253.4,,11.54,,4.0,2.57,0.0,0
38,MN,,415,No,False,0.0,470.8,93.0,74.44,,108.0,16.48,192.2,71.0,8.0,10.4,6.0,2.81,,0
39,ME,23.0,area_code_510,0,False,0.0,119.9,74.0,,161.5,95.0,14.29,265.9,,11.78,6.9,2.0,1.86,1.0,1
40,UNKNOWN,66.0,,no,False,,377.8,112.0,56.47,257.5,106.0,21.38,217.3,,9.03,15.6,3.0,4.21,4.0,0
41,UNKNOWN,144.0,408,False,False,,65.2,117.0,10.65,76.0,85.0,6.66,173.3,99.0,7.92,8.2,,2.21,,1
42,RI,128.0,area_code_510,False,False,0.0,219.8,,39.5,141.3,108.0,13.82,217.2,98.0,10.58,,5.0,2.65,,0
43,KS,129.0,area_415,FALSE,False,0.0,,,40.17,257.5,102.0,,,,8.02,10.8,1.0,2.92,2.0,0
44,CA,,,No,True,19.0,164.0,122.0,,,89.0,,255.2,,,,0.0,0.0,1.0,0
45,HI,86.0,area_code_408,0,True,21.0,,99.0,34.27,168.6,100.0,,208.3,120.0,,10.1,,,,0
46,MA,,415,,True,34.0,,,25.47,207.0,115.0,,204.6,,,9.2,4.0,,0.0,0
47,OH,159.0,510,FALSE,False,0.0,,80.0,28.65,203.2,119.0,17.33,198.4,126.0,8.96,,2.0,2.19,,0
48,CA,81.0,408,NO,False,0.0,,,49.47,465.6,,43.97,187.5,78.0,,11.8,,3.19,1.0,0
49,MS,,,False,False,0.0,,,,217.9,58.0,,200.4,147.0,,10.8,6.0,2.92,,0
50,MI,65.0,area_code_415,0,False,0.0,203.1,,38.27,,122.0,14.73,135.4,,6.46,13.2,5.0,3.56,3.0,0
51,MO,110.0,415,NO,False,,189.1,124.0,32.43,,141.0,28.85,214.7,,10.44,9.9,7.0,2.67,1.0,0
52,WV,173.0,area_415,0,False,,196.2,114.0,34.33,295.7,138.0,27.43,109.7,,5.19,10.3,,2.78,5.0,0
53,WV,43.0,area_code_408,true,False,0.0,155.0,92.0,28.79,244.6,121.0,21.14,110.5,,5.31,13.8,,3.73,1.0,1
54,ID,,area_code_415,,False,0.0,237.3,80.0,37.11,,94.0,,109.4,117.0,,12.0,6.0,3.24,,0
55,TN,120.0,area_415,No,False,,,133.0,66.56,349.7,149.0,29.36,513.4,78.0,,16.9,6.0,4.56,0.0,0
56,OR,,415,,False,0.0,,69.0,,,73.0,20.31,473.2,,19.97,,3.0,2.81,4.0,0
57,UNKNOWN,,area_code_415,FALSE,False,0.0,,86.0,47.62,267.9,98.0,20.88,193.0,,8.03,,5.0,3.02,,1
58,UT,94.0,area_code_415,No,,0.0,182.0,109.0,33.79,191.2,,18.4,425.1,71.0,20.62,13.9,4.0,3.75,2.0,0
59,MS,193.0,,,False,0.0,173.8,,28.7,299.5,95.0,25.69,,,5.02,11.6,,3.13,1.0,0
60,NV,78.0,area_code_408,False,False,0.0,71.5,116.0,13.86,496.1,87.0,46.74,172.2,,,,,2.57,3.0,0
61,MI,96.0,area_code_415,0,False,0.0,,101.0,30.16,,108.0,7.1,223.1,112.0,10.64,,10.0,3.11,6.0,0
