player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,age
Bukayo Saka,35,2937,16,9,4,-,3.1,83,0.7,6,7.67,"Arsenal,",22
Rodri,34,2937,8,9,8,1,1.8,92.5,1.6,5,7.62,"Man City,",27
Michael Olise,14(5),1277,10,6,-,-,3,83.1,0.4,6,7.61,"Crystal Palace,",22
Kevin De Bruyne,15(3),1228,4,10,2,-,2.4,83.8,0.3,2,7.6,"Man City,",32
Phil Foden,33(2),2869,19,8,2,-,3,89.1,0.2,10,7.55,"Man City,",24
Cole Palmer,29(4),2618,22,11,7,-,3.3,83.3,-,5,7.48,"Chelsea,",22
Eberechi Eze,24(3),2064,11,4,3,-,3.1,83.7,0.4,5,7.45,"Crystal Palace,",25
Solly March,7,559,3,1,1,-,2,81.4,0.9,1,7.43,"Brighton,",29
Erling Haaland,29(2),2559,27,5,1,-,3.9,77.4,1.3,6,7.4,"Man City,",23
Bruno Fernandes,35,3120,10,8,9,-,2.7,79.4,0.6,6,7.39,"Man Utd,",29
Declan Rice,37(1),3232,7,8,5,-,1.5,90.7,1,5,7.38,"Arsenal,",25
Bruno Guimarães,37,3269,7,8,9,-,1.3,85,0.5,6,7.37,"Newcastle,",26
Martin Ødegaard,35,3104,8,10,2,-,2.2,86.8,0.1,5,7.37,"Arsenal,",25
Arijanet Muric,10,900,-,-,-,-,-,67.5,0.4,1,7.34,"Burnley,",25
Son Heung-Min,34(1),2948,17,10,1,-,2.4,85.1,0.1,6,7.3,"Tottenham,",31
Anthony Gordon,34(1),2906,11,10,10,1,2.3,81.8,0.3,4,7.29,"Newcastle,",23
Ollie Watkins,37,3227,19,13,4,-,2.9,76.8,1.4,7,7.27,"Aston Villa,",28
Jérémy Doku,18(11),1596,3,8,3,-,1.9,86,0.1,5,7.24,"Man City,",22
Mohamed Salah,28(4),2536,18,10,2,-,3.6,75.7,0.2,4,7.24,"Liverpool,",31
Mohammed Kudus,27(6),2488,8,6,6,-,2,84.5,0.5,6,7.23,"West Ham,",23
Daniel Muñoz,16,1440,-,4,4,-,0.5,79.2,1.6,-,7.17,"Crystal Palace,",28
James Maddison,26(2),2155,4,9,5,-,2.1,87.4,0.1,1,7.17,"Tottenham,",27
Kai Havertz,30(7),2641,13,7,11,-,1.9,81.1,2.8,3,7.16,"Arsenal,",24
Bernardo Silva,29(4),2582,6,9,8,-,1,89.4,0.1,2,7.15,"Man City,",29
Virgil van Dijk,36,3178,2,2,3,1,1.3,91.5,3.9,1,7.15,"Liverpool,",32
Alexander Isak,27(3),2267,21,2,1,-,2.6,80,0.3,3,7.14,"Newcastle,",24
Conor Bradley,10(1),761,1,3,2,-,1.1,80.3,1,2,7.13,"Liverpool,",20
Pascal Groß,34(2),3114,4,10,7,-,1.5,90.2,0.4,6,7.13,"Brighton,",32
Conor Gallagher,37,3137,5,7,7,1,1.3,91.5,0.7,1,7.13,"Chelsea,",24
Matheus Cunha,29(3),2454,12,7,9,-,2.3,81.6,0.5,5,7.13,"Wolves,",25
Andy Robertson,18(5),1693,3,2,2,-,0.5,87.7,0.6,-,7.12,"Liverpool,",30
Trent Alexander-Arnold,25(3),2161,3,4,6,-,1.7,79.6,0.3,3,7.12,"Liverpool,",25
Julián Álvarez,31(5),2660,11,9,2,-,2.7,87.9,0.1,1,7.1,"Man City,",24
Jarrod Bowen,34,3021,16,6,2,-,2.5,75.1,1,2,7.1,"West Ham,",27
